iid,spend_online,spend_retail,age,white,college,male,hh_inc
10039,64,0,43,.962045,.430512,0,78.472
5932,0,59.68,49,.9711009,.6922601,0,103.993
8548,74.89999,56.95,23,.8714285,.5249042,0,123.472
6242,0,24.975,36,.8804878,.8270548,0,96.875
9029,34,0,20,.8011205,.5766363,0,71.453
10442,34,78,43,.9892857,.9277108,0,250.001
3105,0,154,44,.6025733,.5250836,0,77.308
4563,136,0,48,1,.8293515,0,161.071
8686,0,25.5,46,.9391682,.71949,1,243.077
6246,0,53,44,.8542544,.5758242,0,95.417
1049,0,39,46,.815052,.759384,0,100.671
7809,0,38,43,.9529412,.8588235,0,250.001
4700,0,69,34,.7531896,.6162866,0,110.625
8874,495.925,173.975,41,.7643527,.9710611,1,184.375
7004,182,121.45,19,.9696106,.7360249,1,178.333
5954,14.975,0,49,.8013443,.4297521,0,43.483
8125,0,12,26,.9928132,.4266959,0,104.625
1695,212.95,0,55,.8244597,.5505976,0,175.313
3790,0,64,51,.9573293,.7070563,0,186.544
2047,121,0,34,.7743902,.7075812,0,219.297
9686,148,362,40,.8746898,.2370173,0,81.354
3643,0,128,41,.6895413,.1958698,1,58.991
3196,183.95,0,56,.7836412,.2506143,0,70.375
77,0,85.975,38,.8887451,.9465517,0,110
6585,114.02,0,71,.8734739,.7819355,0,139.556
6202,78.925,0,25,.7282668,.2381371,0,58.966
10281,44,0,45,.9109538,.6399354,0,144.833
10412,0,53,23,.9101424,.3966245,0,95.92
10186,0,49,40,.8832574,.6823679,0,55.466
9024,0,78,53,.9735328,.6262799,1,81.563
8929,34,34,42,.5513419,.2713797,0,101.042
3818,0,19,29,.7085054,.4921803,1,91.429
1692,16.96,0,69,.9799483,.142189,0,59.25
1280,59.925,24.95,40,.688196,.4937695,0,88.828
7665,0,11.98,41,.9785624,.209622,0,50.179
7053,0,30,34,.9516246,.6060606,1,93.147
6852,0,24.975,61,.5456936,.2594433,0,61.25
8329,0,24,41,.9123644,.2932515,0,101.964
159,65,0,21,1,.1774193,0,32.438
1055,0,94,52,.9821306,.4966635,0,108.594
1452,147.9,175.35,29,.8668374,.8193833,0,150.357
7262,0,33.15,40,.7312253,.4989474,0,118.654
6430,132,0,48,.7737154,.5679677,0,100.281
7173,93.9,57.975,53,.6993464,.5402299,0,126.525
1802,49,28.9,27,.8183962,.4813187,0,60.713
5227,0,64,42,.8648374,.4607961,0,54.914
3183,49,223.175,46,.8292843,.9238921,0,125.071
4816,0,19,20,.7482269,.7701613,0,182.059
8788,0,57.975,40,.9440619,.7667804,0,145.536
2228,0,14.975,40,.8230495,.5671741,0,47.25
7912,0,33,48,.9163059,.8256369,0,97.813
